170	0.000656	0.000617	0.001289	 1.7e-12
0	0.702031	2.523576	3.225645	 4.9e-09
0	0.703027	2.420414	3.123563	 4.9e-09
0	0.702069	2.414056	3.116157	 4.9e-09
0	0.696277	2.590476	3.286785	 4.9e-09
0	0.702859	2.439956	3.142848	 4.9e-09
0	0.694909	2.774576	3.469519	 4.9e-09
0	0.703548	2.740177	3.443803	 4.9e-09
0	0.697322	2.450349	3.147692	 4.9e-09
0	0.706425	2.775138	3.481584	 4.9e-09
0	0.695697	4.110608	4.806353	 4.9e-09
0	0.703775	2.536899	3.240707	 4.9e-09
0	0.701501	2.387477	3.089017	 4.9e-09
0	0.703644	2.359896	3.063574	 4.9e-09
